data;id;command
2020-05-04;448768159;/w Kiev
2020-05-04;448768159;/start
2020-05-04;448768159;/w Kiev
2020-05-04;448768159;/w Kiev
2020-05-04;448768159;/w Kiev
2020-05-04;448768159;/w Kiev
2020-05-04;448768159;/w Kiev
2020-05-04;448768159;/w Kiev
2020-05-04;448768159;/w Kiev
2020-05-04;448768159;/w Kiev
2020-05-04;448768159;/w Kiev
2020-05-04;448768159;/start
2020-05-04;448768159;/start
2020-05-04;448768159;/start
2020-05-04;448768159;/start
2020-05-04;448768159;/w Kiev
2020-05-04;448768159;/w Kiev
2020-05-04;448768159;/sunrise Europe/Kiev
2020-05-04;448768159;/sunrise Europe/Kiev
2020-05-04;448768159;/w Kiev
2020-05-04;448768159;/start
2020-05-04;448768159;/start
2020-05-04;448768159;/start
